Date;Commit;Daniel;Everyone else
2001-08-08;1480;99.05;0.95
2001-08-09;1490;99.06;0.94
2001-08-14;1500;99.00;1.00
2001-08-14;1510;99.01;0.99
2001-08-14;1520;99.01;0.99
2001-08-14;1530;99.02;0.98
2001-08-15;1540;98.96;1.04
2001-08-15;1550;98.71;1.29
2001-08-15;1560;98.72;1.28
2001-08-17;1570;98.73;1.27
2001-08-20;1580;98.67;1.33
2001-08-21;1590;98.68;1.32
2001-08-23;1600;98.69;1.31
2001-08-24;1610;98.70;1.30
2001-08-28;1620;98.64;1.36
2001-08-29;1630;98.65;1.35
2001-08-30;1640;98.66;1.34
2001-09-03;1650;98.67;1.33
2001-09-06;1660;98.61;1.39
2001-09-10;1670;98.44;1.56
2001-09-11;1680;98.45;1.55
2001-09-12;1690;98.46;1.54
2001-09-13;1700;98.35;1.65
2001-09-17;1710;98.36;1.64
2001-09-18;1720;98.37;1.63
2001-09-23;1730;98.32;1.68
2001-09-26;1740;98.33;1.67
2001-10-01;1750;98.34;1.66
2001-10-01;1760;98.35;1.65
2001-10-02;1770;98.36;1.64
2001-10-03;1780;98.37;1.63
2001-10-05;1790;98.21;1.79
2001-10-09;1800;98.22;1.78
2001-10-11;1810;98.23;1.77
2001-10-17;1820;98.19;1.81
2001-10-22;1830;98.20;1.80
2001-10-24;1840;98.21;1.79
2001-10-29;1850;98.22;1.78
2001-10-30;1860;98.23;1.77
2001-10-31;1870;98.24;1.76
2001-11-01;1880;98.24;1.76
2001-11-02;1890;98.25;1.75
2001-11-05;1900;98.26;1.74
2001-11-06;1910;98.27;1.73
2001-11-12;1920;98.28;1.72
2001-11-13;1930;98.29;1.71
2001-11-16;1940;98.25;1.75
2001-11-21;1950;98.26;1.74
2001-11-22;1960;98.16;1.84
2001-11-27;1970;98.17;1.83
2001-11-28;1980;98.18;1.82
2001-11-29;1990;98.19;1.81
2001-11-29;2000;98.20;1.80
2001-12-03;2010;98.21;1.79
2001-12-04;2020;98.22;1.78
2001-12-06;2030;98.23;1.77
2001-12-11;2040;98.19;1.81
2001-12-20;2050;98.20;1.80
2002-01-03;2060;98.20;1.80
2002-01-04;2070;98.21;1.79
2002-01-07;2080;98.12;1.88
2002-01-07;2090;98.04;1.96
2002-01-08;2100;97.95;2.05
2002-01-10;2110;97.96;2.04
2002-01-16;2120;97.92;2.08
2002-01-16;2130;97.93;2.07
2002-01-17;2140;97.85;2.15
2002-01-18;2150;97.86;2.14
2002-01-21;2160;97.87;2.13
2002-01-25;2170;97.88;2.12
2002-01-29;2180;97.89;2.11
2002-01-30;2190;97.90;2.10
2002-01-31;2200;97.91;2.09
2002-02-06;2210;97.92;2.08
2002-02-07;2220;97.93;2.07
2002-02-18;2230;97.94;2.06
2002-02-19;2240;97.95;2.05
2002-02-20;2250;97.96;2.04
2002-02-22;2260;97.96;2.04
2002-02-25;2270;97.97;2.03
2002-02-25;2280;97.98;2.02
2002-02-27;2290;97.99;2.01
2002-02-28;2300;98.00;2.00
2002-03-04;2310;98.01;1.99
2002-03-04;2320;98.02;1.98
2002-03-06;2330;98.03;1.97
2002-03-11;2340;98.03;1.97
2002-03-13;2350;98.04;1.96
2002-03-15;2360;98.05;1.95
2002-03-18;2370;98.06;1.94
2002-03-19;2380;98.07;1.93
2002-03-19;2390;98.08;1.92
2002-03-25;2400;98.08;1.92
2002-04-04;2410;98.09;1.91
2002-04-08;2420;98.10;1.90
2002-04-10;2430;98.11;1.89
2002-04-12;2440;98.11;1.89
2002-04-12;2450;98.12;1.88
2002-04-17;2460;98.05;1.95
2002-04-23;2470;98.02;1.98
2002-04-25;2480;98.02;1.98
2002-04-27;2490;98.03;1.97
2002-05-02;2500;98.04;1.96
2002-05-03;2510;98.05;1.95
2002-05-06;2520;98.06;1.94
2002-05-12;2530;98.06;1.94
2002-05-21;2540;98.07;1.93
2002-05-21;2550;98.08;1.92
2002-05-28;2560;98.09;1.91
2002-06-05;2570;98.09;1.91
2002-06-11;2580;98.10;1.90
2002-06-11;2590;98.11;1.89
2002-06-12;2600;98.12;1.88
2002-06-14;2610;98.12;1.88
2002-06-24;2620;98.13;1.87
2002-07-29;2630;98.14;1.86
2002-07-30;2640;98.14;1.86
2002-08-05;2650;98.11;1.89
2002-08-08;2660;98.12;1.88
2002-08-12;2670;98.13;1.87
2002-08-13;2680;98.13;1.87
2002-08-22;2690;98.14;1.86
2002-08-26;2700;98.15;1.85
2002-08-30;2710;98.15;1.85
2002-09-02;2720;98.16;1.84
