1999-12-01;1
2000-01-01;22
2000-02-01;42
2000-03-01;70
2000-04-01;17
2000-05-01;47
2000-06-01;65
2000-07-01;39
2000-08-01;52
2000-09-01;52
2000-10-01;78
2000-11-01;185
2000-12-01;40
2001-01-01;149
2001-02-01;58
2001-03-01;223
2001-04-01;97
2001-05-01;140
2001-06-01;45
2001-07-01;6
2001-08-01;214
2001-09-01;107
2001-10-01;130
2001-11-01;125
2001-12-01;52
2002-01-01;144
2002-02-01;101
2002-03-01;100
2002-04-01;97
2002-05-01;62
2002-06-01;67
2002-07-01;15
2002-08-01;77
2002-09-01;64
2002-10-01;71
2002-11-01;52
2002-12-01;87
2003-01-01;109
2003-02-01;52
2003-03-01;96
2003-04-01;88
2003-05-01;90
2003-06-01;92
2003-07-01;76
2003-08-01;170
2003-09-01;69
2003-10-01;185
2003-11-01;100
2003-12-01;91
2004-01-01;184
2004-02-01;278
2004-03-01;310
2004-04-01;202
2004-05-01;220
2004-06-01;189
2004-07-01;148
2004-08-01;105
2004-09-01;71
2004-10-01;104
2004-11-01;140
2004-12-01;151
2005-01-01;104
2005-02-01;61
2005-03-01;132
2005-04-01;166
2005-05-01;141
2005-06-01;31
2005-07-01;31
2005-08-01;79
2005-09-01;76
2005-10-01;55
2005-11-01;95
2005-12-01;123
2006-01-01;61
2006-02-01;42
2006-03-01;40
2006-04-01;69
2006-05-01;54
2006-06-01;43
2006-07-01;138
2006-08-01;80
2006-09-01;87
2006-10-01;148
2006-11-01;79
2006-12-01;43
2007-01-01;103
2007-02-01;172
2007-03-01;154
2007-04-01;140
2007-05-01;56
2007-06-01;99
2007-07-01;125
2007-08-01;124
2007-09-01;115
2007-10-01;160
2007-11-01;116
2007-12-01;70
2008-01-01;145
2008-02-01;126
2008-03-01;57
2008-04-01;74
2008-05-01;116
2008-06-01;69
2008-07-01;167
2008-08-01;246
2008-09-01;195
2008-10-01;223
2008-11-01;130
2008-12-01;83
2009-01-01;70
2009-02-01;69
2009-03-01;39
2009-04-01;138
2009-05-01;176
2009-06-01;115
2009-07-01;54
2009-08-01;71
2009-09-01;79
2009-10-01;88
2009-11-01;132
2009-12-01;106
2010-01-01;142
2010-02-01;110
2010-03-01;104
2010-04-01;97
2010-05-01;79
2010-06-01;65
2010-07-01;43
2010-08-01;124
2010-09-01;88
2010-10-01;56
2010-11-01;94
2010-12-01;83
2011-01-01;84
2011-02-01;50
2011-03-01;97
2011-04-01;116
2011-05-01;77
2011-06-01;77
2011-07-01;53
2011-08-01;133
2011-09-01;144
2011-10-01;98
2011-11-01;65
2011-12-01;96
2012-01-01;80
2012-02-01;40
2012-03-01;64
2012-04-01;85
2012-05-01;77
2012-06-01;212
2012-07-01;113
2012-08-01;70
2012-09-01;59
2012-10-01;31
2012-11-01;97
2012-12-01;83
2013-01-01;120
2013-02-01;231
2013-03-01;153
2013-04-01;187
2013-05-01;48
2013-06-01;60
2013-07-01;86
2013-08-01;126
2013-09-01;160
2013-10-01;104
2013-11-01;127
2013-12-01;116
2014-01-01;201
2014-02-01;182
2014-03-01;104
2014-04-01;115
2014-05-01;122
2014-06-01;97
2014-07-01;113
2014-08-01;118
2014-09-01;76
2014-10-01;156
2014-11-01;244
2014-12-01;217
2015-01-01;138
2015-02-01;81
2015-03-01;151
2015-04-01;109
2015-05-01;130
2015-06-01;105
2015-07-01;56
2015-08-01;118
2015-09-01;76
2015-10-01;65
2015-11-01;110
2015-12-01;67
2016-01-01;55
2016-02-01;99
2016-03-01;169
2016-04-01;204
2016-05-01;92
2016-06-01;62
2016-07-01;31
2016-08-01;116
2016-09-01;74
2016-10-01;116
2016-11-01;128
2016-12-01;86
2017-01-01;78
2017-02-01;84
2017-03-01;128
2017-04-01;106
2017-05-01;152
2017-06-01;142
2017-07-01;83
2017-08-01;192
2017-09-01;127
2017-10-01;125
2017-11-01;77
2017-12-01;87
2018-01-01;85
2018-02-01;72
2018-03-01;77
2018-04-01;93
2018-05-01;105
2018-06-01;67
2018-07-01;77
2018-08-01;89
2018-09-01;126
2018-10-01;126
2018-11-01;88
2018-12-01;78
2019-01-01;69
2019-02-01;129
2019-03-01;74
2019-04-01;107
2019-05-01;150
2019-06-01;91
2019-07-01;75
2019-08-01;158
2019-09-01;145
2019-10-01;82
2019-11-01;76
2019-12-01;107
2020-01-01;92
2020-02-01;116
2020-03-01;51
